id,x,y
0,4929.1406,3102.201
0,4938.8594,3123.8962
0,4948.578,3145.5916
0,4958.297,3167.2869
0,4968.0156,3188.9822
0,4977.7344,3210.6775
1,3373.281,-2044.063
1,3372.535,-2058.708
1,3371.7888,-2073.3525
1,3371.0427,-2087.997
1,3370.2966,-2102.6416
1,3369.5505,-2117.2861
2,3749.583,2163.9558
2,3800.3955,2134.8386
2,3851.087,2106.3445
2,3900.122,2093.2026
2,3948.9233,2091.807
2,3997.7202,2090.76
3,-4954.804,4912.4517
3,-4960.2495,4903.5923
3,-4965.695,4894.733
3,-4971.14,4885.8735
3,-4976.5854,4877.014
3,-4982.031,4868.155
4,-600.9706,3076.764
4,-639.827,3128.7756
4,-678.6835,3180.7874
4,-717.5399,3232.799
4,-756.39636,3284.8108
4,-795.2528,3336.8225
5,-3276.291,1136.802
5,-3290.213,1185.2727
5,-3304.1348,1233.7434
5,-3318.0566,1282.2141
5,-3331.9785,1330.6848
5,-3345.9004,1379.1555
6,-2426.238,737.52356
6,-2375.2068,761.3429
6,-2324.1755,785.16223
6,-2273.1443,808.98157
6,-2222.113,832.8009
6,-2171.0818,856.62024
7,-4822.0513,-3633.6172
7,-4815.5513,-3652.9922
7,-4809.0513,-3672.3672
7,-4802.5513,-3691.7422
7,-4796.0513,-3711.1172
7,-4789.5513,-3730.4922
8,-2608.2478,-2617.9587
8,-2606.369,-2655.279
8,-2604.49,-2692.5994
8,-2602.611,-2729.9197
8,-2600.7322,-2767.24
8,-2598.8533,-2804.5603
9,3016.238,-870.9297
9,3008.031,-864.54395
9,2999.824,-858.1582
9,2991.617,-851.77246
9,2983.41,-845.3867
9,2975.203,-839.001
10,2427.82,-755.3833
10,2386.1404,-733.84033
10,2344.4607,-712.29736
10,2302.781,-690.7544
10,2261.1013,-669.2114
10,2219.4216,-647.66846
11,1110.515,-4883.3374
11,1119.7377,-4856.861
11,1128.9603,-4830.3843
11,1140.4786,-4803.1777
11,1161.0891,-4773.078
11,1190.3625,-4740.2114
12,-2535.266,3457.0881
12,-2490.563,3493.6194
12,-2445.8599,3530.1506
12,-2401.1567,3566.682
12,-2356.4536,3603.2131
12,-2311.7505,3639.7444
13,-1442.3762,-2445.134
13,-1473.7317,-2500.1223
13,-1505.0872,-2555.1106
13,-1536.4426,-2610.0989
13,-1567.7981,-2665.0872
13,-1599.1536,-2720.0754
14,-3718.0225,2600.685
14,-3742.6943,2540.5015
14,-3762.8633,2482.1897
14,-3763.7354,2430.1345
14,-3756.9658,2379.9314
14,-3750.1963,2329.7283
15,845.2769,445.21448
15,855.19293,496.19788
15,865.10895,547.1813
15,875.02496,598.1647
15,884.941,649.1481
15,894.857,700.1315
16,-3161.6143,-1849.6084
16,-3163.3071,-1810.7362
16,-3181.7107,-1776.039
16,-3212.2244,-1744.3998
16,-3251.5051,-1715.0077
16,-3297.1138,-1687.279
17,-122.90491,3108.576
17,-164.2213,3057.6228
17,-205.5377,3006.6697
17,-246.85411,2955.7166
17,-288.1705,2904.7634
17,-329.4869,2853.8103
18,1467.0486,3681.3206
18,1478.8044,3641.2073
18,1490.5603,3601.094
18,1502.3162,3560.9807
18,1514.072,3520.8674
18,1525.8279,3480.7542
19,-755.11066,1531.6138
19,-729.472,1471.231
19,-703.8333,1410.8481
19,-678.19464,1350.4653
19,-652.55597,1290.0825
19,-626.9173,1229.6997
20,-627.5664,506.19467
20,-637.08984,517.0628
20,-646.6133,527.93097
20,-656.1367,538.79913
20,-665.66016,549.6673
20,-675.1836,560.53546
21,2555.664,-3652.6494
21,2590.9297,-3597.337
21,2626.1953,-3542.0244
21,2661.461,-3486.712
21,2696.7266,-3431.3994
21,2731.9922,-3376.087
22,4321.3916,-4611.7354
22,4347.634,-4611.1963
22,4373.876,-4610.657
22,4400.118,-4610.118
22,4426.3604,-4609.579
22,4452.6025,-4609.04
23,-3393.8413,2390.7395
23,-3367.6538,2408.5442
23,-3341.4663,2426.3489
23,-3315.2788,2444.1536
23,-3289.0913,2461.9583
23,-3262.9038,2479.763
24,3974.9358,-3562.521
24,4023.182,-3518.0718
24,4071.428,-3473.6226
24,4119.6724,-3429.1733
24,4167.9146,-3384.724
24,4216.1567,-3340.275
25,-1111.1957,-3812.4844
25,-1156.143,-3764.7031
25,-1201.0902,-3716.9219
25,-1246.0375,-3669.1406
25,-1290.9847,-3621.3594
25,-1335.932,-3573.5781
26,-3993.9597,2181.7048
26,-4041.2253,2178.5251
26,-4088.491,2175.3455
26,-4135.7563,2172.1658
26,-4183.022,2168.986
26,-4230.2876,2165.8064
27,349.04718,-4679.739
27,312.94464,-4734.512
27,277.1332,-4788.898
27,255.94627,-4824.349
27,254.3383,-4838.588
27,267.55762,-4839.886
28,-1808.1034,41.25039
28,-1836.244,-16.131203
28,-1864.3846,-73.512794
28,-1892.5253,-130.89438
28,-1920.6659,-188.27597
28,-1948.8065,-245.65756
29,-1829.3948,1885.3552
29,-1775.0217,1877.7283
29,-1720.6487,1870.1013
29,-1666.2756,1862.4744
29,-1611.9026,1854.8474
29,-1557.5295,1847.2205
30,-1753.0955,4177.577
30,-1817.279,4171.507
30,-1881.4626,4165.4365
30,-1945.6462,4159.366
30,-2009.8298,4153.296
30,-2074.0134,4147.2256
31,-1665.5763,-4655.0713
31,-1607.09,-4625.3604
31,-1548.6036,-4595.6494
31,-1490.1173,-4565.9385
31,-1431.631,-4536.2275
31,-1373.1447,-4506.5166
32,3874.8125,1855.9484
32,3897.8047,1895.5519
32,3921.048,1934.6348
32,3949.8608,1963.7357
32,3980.5142,1990.682
32,4013.653,2015.6473
33,1022.7289,-3077.4727
33,1032.979,-3138.0156
33,1043.229,-3198.5586
33,1053.479,-3259.1016
33,1063.729,-3319.6445
33,1073.979,-3380.1875
34,769.6031,1358.3243
34,823.4849,1320.9064
34,877.36676,1283.4884
34,931.2486,1246.0704
34,985.13043,1208.6525
34,1039.012,1171.2345
35,-2985.6787,-3834.4512
35,-3011.2686,-3861.127
35,-3036.8584,-3887.8027
35,-3062.4482,-3914.4785
35,-3088.038,-3941.1543
35,-3113.628,-3967.83
36,-693.228,252.48505
36,-718.62354,281.76678
36,-744.01904,311.04852
36,-769.41455,340.33026
36,-794.81006,369.612
36,-820.20557,398.89374
37,1808.6515,3317.4214
37,1858.5363,3343.5815
37,1908.421,3369.7417
37,1958.3058,3395.9019
37,2008.1906,3422.062
37,2058.075,3448.2222
38,-4093.4197,1420.0161
38,-4154.888,1411.6743
38,-4216.357,1403.3325
38,-4277.8257,1394.9907
38,-4339.2944,1386.6489
38,-4400.763,1378.3071
39,-3167.327,3538.1282
39,-3207.2332,3590.1946
39,-3247.1394,3642.261
39,-3287.0457,3694.3274
39,-3326.952,3746.3938
39,-3366.8582,3798.4602
40,-887.2487,2740.1177
40,-916.32587,2774.2388
40,-945.403,2808.3599
40,-974.48016,2842.481
40,-1003.5573,2876.602
40,-1032.6342,2910.7231
41,-3783.476,3474.9814
41,-3834.8823,3469.3057
41,-3886.2886,3463.63
41,-3937.6948,3457.954
41,-3989.101,3452.2783
41,-4040.5073,3446.6025
42,-1737.936,4610.481
42,-1742.6196,4593.778
42,-1747.3032,4577.0747
42,-1751.9868,4560.3716
42,-1756.6704,4543.6685
42,-1761.354,4526.9653
43,-2324.4177,2235.4385
43,-2322.9138,2215.7822
43,-2321.41,2196.126
43,-2319.906,2176.4697
43,-2318.402,2156.8135
43,-2316.8982,2137.1572
